file_name,state_code,council_name,council_code,zone_code,section_code
o00407-0255000370614.bu,am,MANAUS,02550,0037,0614
o00407-0255000680797.bu,am,MANAUS,02550,0068,0797
o00407-9839600230154.bu,am,MANAQUIRI,98396,0023,0154
o00407-3787701050083.bu,ba,PIATÃ,37877,0105,0083
o00407-9701200090011.bu,df,BRASÍLIA,97012,0009,0011
o00407-9288600260131.bu,go,COCALZINHO DE GOIÁS,92886,0026,0131
o00407-4445801020193.bu,mg,DIVINÓPOLIS,44458,0102,0193
o00407-0489800990017.bu,pa,MELGAÇO,04898,0099,0017
o00407-0489800990018.bu,pa,MELGAÇO,04898,0099,0018
o00407-0489800990019.bu,pa,MELGAÇO,04898,0099,0019
o00407-0489800990055.bu,pa,MELGAÇO,04898,0099,0055
o00407-2621200750135.bu,pe,VERDEJANTE,26212,0075,0135
o00407-8919200540013.bu,rs,SOLEDADE,89192,0054,0013
o00407-8301100460022.bu,sc,SALETE,83011,0046,0022
o00407-2917300010494.bu,zz,KATMANDU,29173,0001,0494
o00407-2929700010495.bu,zz,ANCARA,29297,0001,0495
o00407-2958000010096.bu,zz,CONCEPCIÓN,29580,0001,0096
o00407-2963700010727.bu,zz,DAMASCO,29637,0001,0727
o00407-2977700010127.bu,zz,HAVANA,29777,0001,0127
o00407-2991200010150.bu,zz,LAGOS,29912,0001,0150
o00407-3890300010603.bu,zz,CONACRI,38903,0001,0603
o00407-9923600010815.bu,zz,PUERTO QUIJARRO,99236,0001,0815
o00407-9923600012887.bu,zz,PUERTO QUIJARRO,99236,0001,2887
o00407-2976900010126.bu,zz,HARARE,29769,0001,0126
o00407-3011200010601.bu,zz,MIAMI,30112,0001,0601
o00407-3070800010444.bu,zz,TUNIS,30708,0001,0444
o00407-3098800010725.bu,zz,SARAJEVO,30988,0001,0725
o00407-3098800011354.bu,zz,SARAJEVO,30988,0001,1354
o00407-3898900011841.bu,zz,IEREVAN,38989,0001,1841
o00407-3910200010712.bu,zz,MASCATE,39102,0001,0712
o00407-3912800013208.bu,zz,BAKU,39128,0001,3208
o00407-9910400011011.bu,zz,TBILISI,99104,0001,1011
o00407-9914700013049.bu,zz,SAINT JOHNS,99147,0001,3049
o00407-9917100013126.bu,zz,BAGDÁ,99171,0001,3126
o00407-9933300013188.bu,zz,ST GEORGES DE LOYAPOCK,99333,0001,3188
o00407-2930000010006.bu,zz,ARGEL,29300,0001,0006
o00407-2937800011735.bu,zz,BELGRADO,29378,0001,1735
o00407-2942400010054.bu,zz,BRIDGETOWN,29424,0001,0054
o00407-2981500010140.bu,zz,IAUNDÊ,29815,0001,0140
